districtid,weekid,dose1,dose2
AP_S.P.S. Nellore,1,0,0
AP_S.P.S. Nellore,2,0,0
AP_S.P.S. Nellore,3,0,0
AP_S.P.S. Nellore,4,0,0
AP_S.P.S. Nellore,5,0,0
AP_S.P.S. Nellore,6,0,0
AP_S.P.S. Nellore,7,0,0
AP_S.P.S. Nellore,8,0,0
AP_S.P.S. Nellore,9,0,0
AP_S.P.S. Nellore,10,0,0
AP_S.P.S. Nellore,11,0,0
AP_S.P.S. Nellore,12,0,0
AP_S.P.S. Nellore,13,0,0
AP_S.P.S. Nellore,14,0,0
AP_S.P.S. Nellore,15,0,0
AP_S.P.S. Nellore,16,0,0
AP_S.P.S. Nellore,17,0,0
AP_S.P.S. Nellore,18,0,0
AP_S.P.S. Nellore,19,0,0
AP_S.P.S. Nellore,20,0,0
AP_S.P.S. Nellore,21,0,0
AP_S.P.S. Nellore,22,0,0
AP_S.P.S. Nellore,23,0,0
AP_S.P.S. Nellore,24,0,0
AP_S.P.S. Nellore,25,0,0
AP_S.P.S. Nellore,26,0,0
AP_S.P.S. Nellore,27,0,0
AP_S.P.S. Nellore,28,0,0
AP_S.P.S. Nellore,29,0,0
AP_S.P.S. Nellore,30,0,0
AP_S.P.S. Nellore,31,0,0
AP_S.P.S. Nellore,32,0,0
AP_S.P.S. Nellore,33,0,0
AP_S.P.S. Nellore,34,0,0
AP_S.P.S. Nellore,35,0,0
AP_S.P.S. Nellore,36,0,0
AP_S.P.S. Nellore,37,0,0
AP_S.P.S. Nellore,38,0,0
AP_S.P.S. Nellore,39,0,0
AP_S.P.S. Nellore,40,0,0
AP_S.P.S. Nellore,41,0,0
AP_S.P.S. Nellore,42,0,0
AP_S.P.S. Nellore,43,0,0
AP_S.P.S. Nellore,44,0,0
AP_S.P.S. Nellore,45,5659,0
AP_S.P.S. Nellore,46,6518,0
AP_S.P.S. Nellore,47,14431,0
AP_S.P.S. Nellore,48,5320,656
AP_S.P.S. Nellore,49,8164,8992
AP_S.P.S. Nellore,50,8471,4880
AP_S.P.S. Nellore,51,11531,4787
AP_S.P.S. Nellore,52,13202,4419
AP_S.P.S. Nellore,53,35573,9774
AP_S.P.S. Nellore,54,44788,7970
AP_S.P.S. Nellore,55,33394,4696
AP_S.P.S. Nellore,56,42868,6163
AP_S.P.S. Nellore,57,54787,6013
AP_S.P.S. Nellore,58,30394,43730
AP_S.P.S. Nellore,59,47084,26938
AP_S.P.S. Nellore,60,24135,31388
AP_S.P.S. Nellore,61,6041,18563
AP_S.P.S. Nellore,62,6682,5596
AP_S.P.S. Nellore,63,114953,5796
AP_S.P.S. Nellore,64,55848,5349
AP_S.P.S. Nellore,65,59906,5062
AP_S.P.S. Nellore,66,29155,2188
AP_S.P.S. Nellore,67,122740,24697
AP_S.P.S. Nellore,68,55345,54629
AP_S.P.S. Nellore,69,30696,37913
AP_S.P.S. Nellore,70,61176,49403
AP_S.P.S. Nellore,71,13419,37921
AP_S.P.S. Nellore,72,97356,77812
AP_S.P.S. Nellore,73,71386,23916
AP_S.P.S. Nellore,74,46777,19438
AP_Srikakulam,1,0,0
AP_Srikakulam,2,0,0
AP_Srikakulam,3,0,0
AP_Srikakulam,4,0,0
AP_Srikakulam,5,0,0
AP_Srikakulam,6,0,0
AP_Srikakulam,7,0,0
AP_Srikakulam,8,0,0
AP_Srikakulam,9,0,0
AP_Srikakulam,10,0,0
AP_Srikakulam,11,0,0
AP_Srikakulam,12,0,0
AP_Srikakulam,13,0,0
AP_Srikakulam,14,0,0
AP_Srikakulam,15,0,0
AP_Srikakulam,16,0,0
AP_Srikakulam,17,0,0
AP_Srikakulam,18,0,0
AP_Srikakulam,19,0,0
AP_Srikakulam,20,0,0
AP_Srikakulam,21,0,0
AP_Srikakulam,22,0,0
AP_Srikakulam,23,0,0
AP_Srikakulam,24,0,0
AP_Srikakulam,25,0,0
AP_Srikakulam,26,0,0
AP_Srikakulam,27,0,0
AP_Srikakulam,28,0,0
AP_Srikakulam,29,0,0
AP_Srikakulam,30,0,0
AP_Srikakulam,31,0,0
AP_Srikakulam,32,0,0
AP_Srikakulam,33,0,0
AP_Srikakulam,34,0,0
AP_Srikakulam,35,0,0
AP_Srikakulam,36,0,0
AP_Srikakulam,37,0,0
AP_Srikakulam,38,0,0
AP_Srikakulam,39,0,0
AP_Srikakulam,40,0,0
AP_Srikakulam,41,0,0
