stateid,weekid,dose1,dose2
MH,55,2474201,74336
MH,56,2473839,160829
MH,57,1879952,335766
MH,58,1477489,613961
MH,59,1311233,752567
MH,60,990331,662868
MH,61,1077768,888011
MH,62,627477,181306
MH,63,1375447,133559
MH,64,1568454,250105
MH,65,1415739,401441
MH,66,1440723,309258
MH,67,2912137,503333
MH,68,2025706,870945
MH,69,1527907,887485
MH,70,1738839,1298785
MH,71,1017462,801039
MH,72,1811093,1348164
MH,73,1571135,755234
MH,74,1644580,866488
ML,1,0,0
ML,2,0,0
ML,3,0,0
ML,4,0,0
ML,5,0,0
ML,6,0,0
ML,7,0,0
ML,8,0,0
ML,9,0,0
ML,10,0,0
